SrNo,Country,State,Company Name,Address
1,India,Maharashtra,A.G.Sunseeds (I) Pvt.Ltd.,"C/o P.M.Parikh Bungalow, Opp.Motilal Mangal Karyalaya,Motinagar, Latur- 4132512"
2,India,Maharashtra,Advanta India Limited,"309 3rdFloor, Raheja Chambers, Mauseum Road,Bangalore – 560 001 Tel: (080) 5594524 Fax: 5594525"
3,India,Maharashtra,Ajeet Seed Pvt.Ltd,"Tapadiya Terraces, IInd Floor, Adalat Road, Aurangabad-431 001 Tel: (0240) 332572,320010 Fax 333335"
4,India,Maharashtra,Amereswara Agri Tech Pvt. Ltd.,"301,Durga Apartment, Solnaji Guda,
Hyderabad:500 082"
7,India,Andhra Pradesh,Andhra Pradesh State Seeds Development Corpn,"5-10-193,2nd Floor,Haca Bhavan,
Hyderabad: 500 004"
8,India,Andhra Pradesh,Ankur Hybrid Seed Corporation,"Mirzapur Char Rasta, Bakar Ali’s Wadi, Near Layland Company,
Ahmedabad: 380 001"
9,India,Andhra Pradesh,"Ankur Seeds Pvt.Ltd	27","New Cotton Market Layout, Opp. Bus Station,
Nagpur: 440 018"
10,India,Andhra Pradesh,"West Bengal	Annapurna Seeds	Suit No.15","(2nd Floor) 2 N C Datta Sarani,
Calcutta- 70000"
11,India,West Bengal,"Canaan Agrotech	","43, 3rd Floor, Abids Shopping Centre"
12,India,West Bengal,Ceekay Associates,"12 Km, Bellary Road, Opp. Jakkar
Aerodrome Bangalore: 56 0064"
13,India,West Bengal,Century Seeds Pvt.Ltd,"BA 22-24 Phase II, Mangolpuri Indl.Area,
Delhi: 110 034"
14,India,West Bengal,Continental Seed & Chemicals Ltd.,"A-10,Green Park,
New Delhi: 110 016"
