Year,Country,FundingAgencyyy,FundingAmount
2000,"Korea, N",Dept of Agricultureee,$32 242 376
2000,Korea–North,Dept of Agriculture,"$86,151,301"
2000,Korea North,department of State,166855
2000,SouthKorea,U.S. Agency for International Development,"282,805a"
2000,south Korea,Trade and Development Agency,735718
2001,North Korea,US Agency for International Development,"3,45,399"
2001,N Korea,Department of Argic,117715223
2001,So Korea,Department of agriculture,2260293
2001,"Korea, North",State Department,"1,83,752"
2001,"Korea, South",Trade and Development Agency,"3,29,953"
2002,"Korea, N",Department of Agriculture,"3,73,22,244.00"
2002,"Korea, South",U.S. Agency for International Development,"67,990.00"
2002,"Korea, South",Trade and Development Agency,"$294,340"
2003,"Korea, North",U.S. Agency for International Development,$333 823
2003,"Korea, North",Department - Agriculture,"$26,766,828"
2003,"Korea, North",Department - Agriculture,"$19,337,695"
2003,"Korea, No",Department of State,"2,20,323"
2003,"Korea, South",U.S. Agency for International Development,"66,765"
2003,"Korea, South",Trade and Development Agency,"19,899"
2004,"Korea, North",U.S. Agency f/ International Development,"7,82,473"
2004,"Korea, North",U.S. Agency: International Development,"3,11,432"
2004,"Korea, North",U.S. Agency for International Development,"4,60,355"
2004,"Korea, North",Department of Agriculture,"1,15,03,280"
2004,"Korea, N",Department of Agriculture,"$54,680,490"
2004,"Korea, North",Department of State,"11,08,637"
2004,"Korea, North",Department Of State,"$1,408"
2004,"Korea, No",Department of State,"2,15,180"
2005,"Korea, North",U.S. Agency for International Development,"$1,070,615"
2005,"Korea, North",Department of Agriculture,"92,00,835"
2005,"Korea, N",Department of State,"1,07,568"
2005,"Korea, South",U.S. Agency for International Development,"1,89,825"
2005,"Korea, South",Department of Agricult,"1,83,498"
2005,"Korea, South",Department of State,"3,66,996"
2005,"Korea, South",Department of Commerce,"1,266"
2006,"Korea, North",Department of State,"12,13,979"
2006,"Korea, North",Department of State,"2,75,904"
2006,South Korea,U.S. Agency for INt'l Development,"61,312"
2006,Korea South,Department of State,"26,017"
2007,"Korea, North",U.S. Agency for International Development,"48,94,361"
2007,"Korea, North",Department of State,"15,61,418"
2007,Korea-North,Department of State,"2,14,49,645"
2007,"Korea, North",Department of State,"6,05,229"
2007,"Korea, South",Department of State,"3,58,123"
2007,Korea: South,Department of Energy,"1,57,67,907"
2008,"Korea, North",U.S. Agency for International Development,"10,99,41,520"
2008,"Korea, North",Department of Agriculture,"70,17,544"
2008,"Korea, North",Department of Agriculture,"7,37,01,170"
2008,Korea::North,Department of State,"16,42,580"
2008,"Korea, North",Department of State,"2,31,13,689"
2008,"Korea, North",Department of State,"12,72,992"
2008,Korea ;North,Department of Energy,"37,427"
2008,"Korea, South",Department of State,"2,33,918"
2008,"Korea, South",Department of Energy,"60,46,784"
2008,South Korea,Department- Health and Human Services,"1,75,439"
2008,South Korea,Department of Justice,"63,270"
2009,"Korea, North",USA Agency for International Development,"-34,60,698"
2009,"Korea, North",U.S. Agency for International Development,"10,538"
2009,"Korea, North",Department of Agriculture,"17,921"
2009,"Korea, North",Department of State,"34,06,449"
2009,"Korea, North",Department of State,"18,49,925"
2009,"Korea, North",Department – State,"15,60,874"
2009,"Korea, South",Department of State,"34,570"
2009,"Korea, South",Department of Energy,"20,18,824"
2010,"Korea, North",U.S. Agency for International Development,"6,86,674"
2010,"Korea, North",Department of Agriculture,"-11,46,395"
2010,"Korea, North",Department of Agriculture,"33,29,087"
2010,"Korea, North",Department of State,"16,67,993"
2010,Korea `South,Department of Agriculture,280
2010,"Korea, South",Department of Commerce,"3,439"
2010,"Korea, South",Department of Energy,"13,12,936"
2010,"Korea, South",Department of Justice,"15,387"
2010,"Korea, South",Department of Justice,"72,390"
2010,"Korea, South",Department of Justice,286
2010,"Korea, South",Environmental Protection Agency,"1,12,920"
2010,"Korea, South",Federal Trade Commission,"32,945"
2011,"Korea, North",U.S. Agency for International Development,"10,11,463"
2011,"Korea, North",Department of State,"16,19,112"
2011,"Korea, South",Department of Agriculture,"5,342"
2011,"Korea, South",Department of State,"7,222"
2011,So Korea,Department of Commerce,"5,578"
2011,"Korea, South",Department of Defense,"1,70,825"
2011,"Korea, South",Department of Defense,"39,357"
2011,"Korea, South",Department of Energy,"13,16,902"
2012,"Korea, North",U.S. Agency for International Development,"-2,910"
2012,Korea. No.,Department of State,"17,20,715"
2012,"Korea, North",Department of State,"12,46,415"
2012,"Korea, South",Department of Agriculture,"9,376"
2012,"Korea, South",Department of Commerce,"1,489"
2012,"Korea, South",Department of Energy,"11,40,530"
2012,"Korea, South",Department of Justice,"36,615"
2013,"Korea, North",U.S. Agency for International Development,"-73,315"
2013,"Korea, North",Department of Agriculture,"-5,79,341"
2013,"Korea, Nor",Department of State,"13,08,813"
2013,"Korea, South",U.S. Agency for International Development,"1,71,710"
2013,"Korea, South",Department of Agriculture,"1,300"
2013,"Korea, South",Department of Energy,"5,08,925"
2014,"Korea, North",U.S. Agency for International Development,"-90,375"
2014,"Korea, North",Department of State,"21,68,429"
2014,"Korea, South",U.S. Agency for International Development,"2,84,917"
2014,"Korea, South",Department of Defense,"5,38,674"
2014,"Korea, South",Department of Energy,"6,79,258"
2015,"Korea, North",Department of State,"21,03,584"
2015,"Korea, South",U.S. Agency for International Development,"3,08,939"
2015,"Korea, South",Department of State,"4,210"
2015,"Korea, South",Department of State,"26,244"
2015,"Korea, South",Department of Energy,"1,17,573"
2016,Korea north,U.S. Agency for International Development,-658
2016,"Korea, North",Department of State,"6,269"
2016,"Korea, North",Department of State,"22,22,557"
2016,south korea,U.S. Agency for International Development,"3,94,767"
2016,"Korea, South",Department of State,-148
2016,"Korea, South",Department of State,"26,004"
2016,"Korea, So;",Department of Energy,"4,17,516"
2016,"Korea, South",Department of Health and Human Services,"59,601"
2017,"Korea, North",U.S. Agency for International Development,"10,21,659"
2017,"Korea, North",Department of State,"25,24,549"
2017,Korea-South,U.S. Agency for International Development,"3,70,586"
2017,Korea::South,Department of State,"25,541"
2017,"Korea, South",Department of Energy,"2,64,099"
2017,"Korea, South",Department of Health and Human Services,"1,32,105"
2018,Korea xNorth,U.S. Agency for International Development,"-4,083"
2018,"Korea, North",Department of State,"-10,392"
2018,"Korea, North",Department of State,"25,95,914"
2018,"Korea, South",U.S. Agency for International Development,"3,70,554"
2018,"Korea, South",Department of Energy,"1,47,200"
2018,"Korea, South",Department of Health and Human Svc,"16,940"
2018,"Korea, South",Department of Homeland Sec,"15,048"
