Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"New York, NY",01-01-2020,34.7,40.8,38.2,24.5,57.98,,13.4,24.2,252,28.6,0.1,4.17,,,21.4,1008.2,,40.71455,-74.00714,"New York, NY",,,"Rain, Clear"
"New York, NY",02-01-2020,32.8,47.5,40.1,27.8,61.75,,8.6,50.6,260.95,27.2,0,12.5,,,2.5,1013.8,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",03-01-2020,43.7,47,45.5,41,84.64,,4.7,,256.91,41.7,0,12.5,,,24.8,1010.1,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",04-01-2020,43.2,49,46.6,45,94.05,,4.7,,123.95,43.2,0.1,25,,,26.6,1003.6,,40.71455,-74.00714,"New York, NY",,,"Rain, Partially cloudy"
"New York, NY",05-01-2020,36.7,43.6,39.8,24.3,54.07,,6.2,42.1,169,32.4,0,0,,,22.2,1010.1,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",05-01-2020,32.6,44.6,38.6,28.8,69.09,,10.2,51.7,256.52,27.3,0,4.17,,,16.7,1015.3,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",07-01-2020,37.7,43.2,40.1,26.3,58.33,,7,39.1,181.22,34.1,0,0,,,6.8,1016.1,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",08-01-2020,30.4,43.2,36.1,23.6,62.73,,10.2,47.2,260,26.6,0,0,,,12.4,1016.5,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",09-01-2020,25.3,34.7,30.3,12.8,48.67,,6.2,41,217.14,19.6,0,0,,,4.9,1038.7,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",10-01-2020,33.9,52.4,43.3,35.3,73.35,,9.4,44.6,265.62,28.3,0,0,,,21.2,1034.4,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",11-01-2020,51.9,64.3,58.2,49.9,74.23,,12.8,39.1,243.64,,0,0,,,26,1023.3,,40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",12-01-2020,49.1,65.6,59.9,46,62.87,,15.6,35.1,219.06,47.4,0,4.17,,,10.1,1018.1,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",13-01-2020,38.8,47.6,43.4,35.5,74.04,,9.4,34.4,55.95,32.8,0,0,,,28.9,1029.2,,40.71455,-74.00714,"New York, NY",,,Partially cloudy
"New York, NY",14-01-2020,40.9,45.8,43.2,38.8,84.8,,7,,58.73,36.7,0,0,,,22.8,1025.2,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",15-01-2020,42.8,52,46.3,37.1,72.32,,6.2,35.6,222.25,39.4,0,0,,,7.6,1020.8,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",16-01-2020,35.6,49.2,43.7,33.1,68.08,,10.2,42.5,227.18,33.2,0,4.17,,,19,1015,,40.71455,-74.00714,"New York, NY",,,Clear
"New York, NY",17-01-2020,24,35.3,28.9,10.3,46.04,,6.2,45.9,280,16.5,0,0,,,3.8,1034.7,,40.71455,-74.00714,"New York, NY",,,Clear
